animal,plant,furniture,scenery
Monkey,Bamboo,bed,Cliff
Elephant,Apple,cabinet,Bay
cows,Apricot,chair,Coast
Cat,Banana,chests,Mountains
Dog,Bean,clock,Forests
bear,Wildflower,desks,Waterbodies
fox,Flower,table,Lake
Civet,Mushroom,Piano,desert
Pangolins,Weed,Bookcase,farmland
Rabbit,Fern,Umbrella,river
Bats,Reed,Clothes,hedges
Whale,Shrub,cart,plain
Cock,Moss,sofa,sky
Owl,Grass,ball,cave
flamingo,Palm_tree,spoon,cloud
Lizard,Corn,Bowl,flower_garden
Turtle,Tulip,fridge,glacier
Snake,Rose,pan,grassland
Frog,Clove,book,horizon
Fish,Dogwood,,lighthouse
shrimp,Durian,,plateau
Crab,Ferns,,savannah
Snail,Fig,,valley
Coral,Flax,,volcano
Jellyfish,Frangipani,,waterfall
Butterfly,Lantana,,
Flies,Hibiscus,,
Mosquito,Bougainvillea,,
Ants,Pea,,
Cockroaches,Orchid_Tree,,
Spider,Rangoon_Creeper,,
scorpion,Jack_fruit,,
tiger,Cotton_plant,,
bird,Cornelian_tree,,
horse,Coffee_plant,,
pig,Coconut,,
Alligator,wheat,,
Alpaca,watermelon,,
Anteater,radish,,
donkey,carrot,,
Bee,,,
Buffalo,,,
Camel,,,
Caterpillar,,,
Cheetah,,,
Chicken,,,
Dragonfly,,,
Duck,,,
panda,,,
Giraffe,,,
